,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2018-01-01,0.0,-13.8,-7.1,-10.8,0
1,2018-01-02,0.0,-10.5,-3.2,-7.4,0
2,2018-01-03,0.0,-8.8,-1.0,-6.4,0
3,2018-01-04,46.0,-7.1,-1.6,-4.3,0
4,2018-01-05,183.0,-12.7,-7.1,-10.6,0
5,2018-01-08,0.0,-8.2,-0.5,-4.5,0
6,2018-01-09,3.0,-1.0,6.7,1.8,0
7,2018-01-10,0.0,-1.0,6.1,0.1,0
8,2018-01-11,0.0,5.0,11.7,6.2,0
9,2018-01-12,0.0,6.7,16.1,13.4,0
10,2018-01-15,0.0,-8.8,-1.0,-5.2,0
11,2018-01-16,0.0,-3.8,2.2,-1.1,0
12,2018-01-17,25.0,-5.5,2.2,-0.6,0
13,2018-01-18,0.0,-7.7,0.0,-4.0,0
14,2018-01-19,0.0,-4.3,5.0,-1.4,0
15,2018-01-22,0.0,3.3,9.4,6.0,0
16,2018-01-23,0.0,3.3,15.6,9.3,0
17,2018-01-24,0.0,-2.7,6.7,3.3,0
18,2018-01-25,0.0,-4.9,1.1,-2.0,0
19,2018-01-26,0.0,-3.2,3.3,-0.5,0
20,2018-01-29,3.0,1.7,8.3,5.4,0
21,2018-01-30,30.0,-4.3,2.2,-0.2,0
22,2018-01-31,0.0,-7.7,0.6,-3.2,0
23,2018-02-01,0.0,0.0,7.2,3.3,0
24,2018-02-02,0.0,-8.2,5.0,-2.4,0
25,2018-02-05,0.0,-3.2,4.4,0.3,0
26,2018-02-06,20.0,-3.2,2.8,-0.6,0
27,2018-02-07,20.0,-1.0,7.2,0.7,0
28,2018-02-08,18.0,-3.8,0.6,-1.5,0
29,2018-02-09,0.0,-3.2,3.9,-1.1,0
30,2018-02-12,0.0,0.0,16.7,6.7,0
31,2018-02-13,0.0,-3.2,3.3,-0.3,0
32,2018-02-14,0.0,1.7,11.7,5.9,0
33,2018-02-15,0.0,7.8,16.7,11.1,0
34,2018-02-16,0.0,2.2,14.4,10.9,0
35,2018-02-19,0.0,2.2,9.4,4.9,0
36,2018-02-20,0.0,8.3,19.4,12.8,0
37,2018-02-21,0.0,12.8,25.6,18.3,0
38,2018-02-22,0.0,2.8,15.0,6.9,0
39,2018-02-23,0.0,2.2,5.6,3.5,0
40,2018-02-26,0.0,6.1,11.1,8.0,0
41,2018-02-27,0.0,3.9,13.3,7.2,0
42,2018-02-28,0.0,5.6,16.1,9.5,0
43,2018-03-01,0.0,6.7,15.6,11.5,0
44,2018-03-02,3.0,1.1,6.7,3.5,0
45,2018-03-05,0.0,0.6,6.1,3.1,0
46,2018-03-06,246.0,0.0,8.3,3.7,0
47,2018-03-07,251.0,0.6,3.9,1.5,0
48,2018-03-08,114.0,0.6,3.9,2.4,0
49,2018-03-09,0.0,-1.0,5.6,1.9,0
50,2018-03-12,0.0,0.0,6.1,3.0,0
51,2018-03-13,20.0,0.6,4.4,2.4,0
52,2018-03-14,0.0,-0.5,5.0,1.5,0
53,2018-03-15,0.0,0.0,8.9,3.4,0
54,2018-03-16,0.0,-1.0,4.4,1.8,0
55,2018-03-19,0.0,0.6,8.3,3.0,0
56,2018-03-20,0.0,-1.0,3.9,1.4,0
57,2018-03-21,198.0,-0.5,3.9,1.1,1
58,2018-03-22,28.0,0.0,10.0,4.8,2
59,2018-03-23,0.0,1.7,9.4,5.4,0
60,2018-03-26,0.0,1.1,10.0,4.0,0
61,2018-03-27,0.0,1.1,8.3,3.7,0
62,2018-03-28,0.0,3.3,11.1,7.1,0
63,2018-03-29,0.0,9.4,11.7,10.3,0
64,2018-03-30,0.0,6.7,16.7,10.7,0
65,2018-04-02,178.0,0.6,6.1,3.2,0
66,2018-04-03,0.0,3.9,6.1,3.6,0
67,2018-04-04,0.0,4.4,13.3,7.7,0
68,2018-04-05,0.0,1.1,7.2,3.8,0
69,2018-04-06,0.0,2.8,16.7,7.8,0
70,2018-04-09,0.0,0.0,9.4,3.8,0
71,2018-04-10,0.0,3.3,10.6,5.8,0
72,2018-04-11,0.0,2.8,10.6,5.7,0
73,2018-04-12,0.0,7.8,17.2,10.8,0
74,2018-04-13,0.0,15.6,27.8,20.4,0
75,2018-04-16,0.0,3.9,15.6,8.7,0
76,2018-04-17,0.0,3.9,8.3,6.6,0
77,2018-04-18,0.0,2.8,12.8,7.2,0
78,2018-04-19,0.0,3.3,9.4,6.6,0
79,2018-04-20,0.0,2.8,10.0,5.7,0
80,2018-04-23,0.0,7.8,20.0,12.0,0
