,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2023-01-01,0.0,9.4,12.8,9.4,0
1,2023-01-02,0.0,9.4,13.3,8.6,0
2,2023-01-03,0.0,8.3,14.4,9.9,0
3,2023-01-04,0.0,9.4,18.9,13.2,0
4,2023-01-05,0.0,6.7,10.0,8.8,0
5,2023-01-06,0.0,3.9,9.4,6.3,0
6,2023-01-07,0.0,2.8,7.2,3.4,0
7,2023-01-08,0.0,0.6,5.0,1.8,0
8,2023-01-09,0.0,2.8,6.7,3.2,0
9,2023-01-10,0.0,3.3,5.0,3.6,0
10,2023-01-11,0.0,1.7,3.9,2.2,0
11,2023-01-12,0.0,2.8,12.8,6.7,0
12,2023-01-13,0.0,3.3,13.9,9.1,0
13,2023-01-14,0.0,-0.5,3.3,0.8,0
14,2023-01-15,0.0,-1.0,5.0,1.2,0
15,2023-01-16,0.0,-2.1,8.9,2.2,0
16,2023-01-17,0.0,1.7,8.3,3.8,0
17,2023-01-18,0.0,5.6,11.7,7.8,0
18,2023-01-19,0.0,4.4,6.7,4.1,0
19,2023-01-20,0.0,4.4,9.4,5.7,0
20,2023-01-21,0.0,2.8,5.6,3.1,0
21,2023-01-22,0.0,2.2,5.6,3.1,0
22,2023-01-23,0.0,2.2,3.9,2.7,0
23,2023-01-24,0.0,1.7,7.8,3.6,0
24,2023-01-25,0.0,1.7,12.2,3.7,0
25,2023-01-26,0.0,5.0,13.9,7.3,0
26,2023-01-27,0.0,1.7,6.7,2.3,0
27,2023-01-28,0.0,2.2,11.1,5.0,0
28,2023-01-29,0.0,5.6,11.7,6.5,0
29,2023-01-30,0.0,6.1,12.8,6.9,0
30,2023-01-31,5.0,-0.5,10.0,2.4,0
31,2023-02-01,13.0,-3.2,3.3,-0.9,0
32,2023-02-02,0.0,-1.6,4.4,-0.4,0
33,2023-02-03,0.0,-11.6,1.7,-5.7,0
34,2023-02-04,0.0,-16.0,-2.7,-10.1,0
35,2023-02-05,0.0,-2.7,9.4,1.6,0
36,2023-02-06,0.0,1.1,11.1,4.2,0
37,2023-02-07,0.0,-1.0,6.1,1.4,0
