,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2019-01-01,0.0,3.9,14.4,9.6,0
1,2019-01-02,0.0,1.7,4.4,2.7,0
2,2019-01-03,0.0,2.8,6.7,4.4,0
3,2019-01-04,0.0,1.7,8.3,3.7,0
4,2019-01-07,0.0,-3.8,1.1,-1.7,0
5,2019-01-08,0.0,1.1,7.2,3.1,0
6,2019-01-09,0.0,1.1,7.2,5.1,0
7,2019-01-10,0.0,-2.1,1.1,0.2,0
8,2019-01-11,0.0,-6.0,-1.0,-3.4,0
9,2019-01-14,0.0,-5.5,0.0,-3.5,0
10,2019-01-15,0.0,-3.8,2.2,-2.1,0
11,2019-01-16,0.0,-1.0,3.9,0.1,0
12,2019-01-17,0.0,-4.3,0.6,-1.8,0
13,2019-01-18,10.0,-1.6,3.9,0.8,0
14,2019-01-21,0.0,-15.5,-9.9,-12.1,0
15,2019-01-22,0.0,-10.5,-0.5,-5.7,0
16,2019-01-23,0.0,-0.5,11.1,2.4,0
17,2019-01-24,0.0,1.7,15.0,9.7,0
18,2019-01-25,0.0,-2.1,4.4,1.5,0
19,2019-01-28,0.0,-3.8,3.3,-1.9,0
20,2019-01-29,0.0,-3.8,6.1,-0.1,0
21,2019-01-30,0.0,-14.3,1.7,-5.6,0
22,2019-01-31,8.0,-16.6,-8.8,-12.7,0
23,2019-02-01,0.0,-11.6,-6.0,-9.0,0
24,2019-02-04,0.0,5.0,16.1,6.3,0
25,2019-02-05,0.0,6.7,18.3,9.1,0
26,2019-02-06,0.0,1.7,7.8,5.0,0
27,2019-02-07,0.0,3.9,6.7,5.4,0
28,2019-02-08,0.0,0.0,12.8,6.3,0
29,2019-02-11,0.0,-1.0,3.3,1.0,0
30,2019-02-12,0.0,-3.2,2.2,-1.0,0
31,2019-02-13,25.0,0.6,5.0,2.5,0
32,2019-02-14,0.0,0.6,7.8,3.6,0
33,2019-02-15,0.0,5.6,15.0,10.5,0
34,2019-02-18,0.0,-3.2,5.6,1.3,0
35,2019-02-19,0.0,-4.9,2.2,-1.8,0
36,2019-02-20,0.0,-3.2,0.6,-2.2,0
37,2019-02-21,38.0,0.6,11.1,5.4,0
38,2019-02-22,0.0,2.2,6.7,4.7,0
39,2019-02-25,0.0,-2.1,6.1,3.2,0
40,2019-02-26,0.0,-3.8,2.2,-1.4,0
41,2019-02-27,0.0,-4.9,-0.5,-3.0,0
42,2019-02-28,8.0,-2.7,2.8,-0.5,0
43,2019-03-01,33.0,-3.2,1.7,-0.9,0
44,2019-03-04,102.0,-2.1,3.3,1.3,0
45,2019-03-05,0.0,-6.6,0.0,-3.1,0
46,2019-03-06,0.0,-7.1,-3.2,-5.1,0
47,2019-03-07,0.0,-7.7,0.0,-3.8,0
48,2019-03-08,0.0,-4.3,3.9,-0.8,0
49,2019-03-11,0.0,3.9,11.7,8.3,0
50,2019-03-12,0.0,1.1,6.7,3.5,0
51,2019-03-13,0.0,0.0,9.4,3.8,0
52,2019-03-14,0.0,5.6,13.9,9.6,0
53,2019-03-15,0.0,9.4,23.9,15.8,0
54,2019-03-18,0.0,0.0,7.8,3.2,0
55,2019-03-19,0.0,1.7,10.6,4.5,0
56,2019-03-20,0.0,2.8,11.7,5.7,0
57,2019-03-21,0.0,5.0,7.8,6.7,0
58,2019-03-22,0.0,3.3,9.4,6.8,0
59,2019-03-25,0.0,5.6,13.3,10.1,0
60,2019-03-26,0.0,0.6,9.4,4.8,0
61,2019-03-27,0.0,1.1,8.3,3.8,0
62,2019-03-28,0.0,2.8,11.7,6.0,0
63,2019-03-29,0.0,9.4,15.0,11.4,0
64,2019-04-01,0.0,0.6,7.8,4.1,0
65,2019-04-02,0.0,3.9,11.1,5.3,0
66,2019-04-03,0.0,5.0,19.4,11.5,0
67,2019-04-04,0.0,6.7,15.6,9.6,0
68,2019-04-05,0.0,3.3,7.2,4.5,0
69,2019-04-08,0.0,9.4,26.1,17.8,0
70,2019-04-09,0.0,7.8,10.6,9.1,0
71,2019-04-10,0.0,7.2,15.6,10.7,0
72,2019-04-11,0.0,4.4,12.8,7.6,0
73,2019-04-12,0.0,7.8,20.0,12.9,0
74,2019-04-15,0.0,7.8,18.3,13.9,0
75,2019-04-16,0.0,6.7,18.9,11.9,0
76,2019-04-17,0.0,8.9,17.2,12.3,0
77,2019-04-18,0.0,10.6,16.7,13.8,0
78,2019-04-19,0.0,14.4,26.7,20.4,0
79,2019-04-22,0.0,11.1,17.8,14.9,0
80,2019-04-23,0.0,13.3,25.0,18.6,0
81,2019-04-24,0.0,12.8,20.6,18.1,0
82,2019-04-25,0.0,8.9,18.9,13.1,0
83,2019-04-26,0.0,10.6,15.0,12.7,0
84,2019-04-29,0.0,5.0,15.6,9.7,0
85,2019-04-30,0.0,8.9,15.6,12.3,0
86,2019-05-01,0.0,10.0,13.3,12.2,0
87,2019-05-02,0.0,10.0,25.6,15.6,0
88,2019-05-03,0.0,10.0,13.3,12.1,0
