,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2020-01-01,0.0,1.1,5.0,3.4,0
1,2020-01-02,0.0,0.6,9.4,3.6,0
2,2020-01-03,0.0,6.7,9.4,7.9,0
3,2020-01-04,0.0,5.0,10.6,9.2,0
4,2020-01-05,0.0,1.7,5.6,3.9,0
5,2020-01-06,8.0,0.0,7.2,3.4,0
6,2020-01-07,0.0,2.2,7.2,4.0,0
7,2020-01-08,0.0,-2.1,5.6,1.7,0
8,2020-01-09,0.0,-4.9,1.1,-1.5,0
9,2020-01-10,0.0,0.6,12.8,6.3,0
10,2020-01-11,0.0,10.6,20.6,14.6,0
11,2020-01-12,0.0,6.1,20.0,16.8,0
12,2020-01-13,0.0,2.8,7.8,5.2,0
13,2020-01-14,0.0,3.9,7.8,5.0,0
14,2020-01-15,0.0,5.0,10.0,7.5,0
15,2020-01-16,0.0,0.6,9.4,6.5,0
16,2020-01-17,0.0,-6.0,0.6,-2.7,0
17,2020-01-18,0.0,-6.6,2.8,-3.4,0
18,2020-01-19,38.0,-2.7,6.1,3.5,0
19,2020-01-20,0.0,-6.6,-0.5,-3.1,0
20,2020-01-21,0.0,-6.6,0.6,-3.0,0
21,2020-01-22,0.0,-3.8,3.3,-0.8,0
22,2020-01-23,0.0,0.6,8.3,2.2,0
23,2020-01-24,0.0,2.8,10.6,5.3,0
24,2020-01-25,0.0,3.3,10.6,6.1,0
25,2020-01-26,0.0,3.3,7.8,4.9,0
26,2020-01-27,0.0,2.8,7.2,4.9,0
27,2020-01-28,0.0,2.8,6.1,4.1,0
28,2020-01-29,0.0,-0.5,5.0,1.6,0
29,2020-01-30,0.0,-3.8,3.3,-1.2,0
30,2020-01-31,0.0,0.6,6.7,1.9,0
31,2020-02-01,0.0,2.8,6.1,4.1,0
32,2020-02-02,0.0,1.7,7.2,3.3,0
33,2020-02-03,0.0,2.8,13.9,7.1,0
34,2020-02-04,0.0,6.1,16.1,8.8,0
35,2020-02-05,0.0,3.9,12.8,5.0,0
36,2020-02-06,0.0,1.7,5.0,3.7,0
37,2020-02-07,0.0,0.6,13.3,4.2,0
38,2020-02-08,0.0,-1.0,5.0,0.8,0
39,2020-02-09,0.0,-0.5,6.7,1.4,0
40,2020-02-10,0.0,5.6,8.3,5.9,0
41,2020-02-11,0.0,6.1,8.9,7.2,0
42,2020-02-12,0.0,2.8,7.8,5.1,0
43,2020-02-13,0.0,2.8,6.7,3.7,0
44,2020-02-14,0.0,-7.7,4.4,-1.7,0
45,2020-02-15,0.0,-9.9,-0.5,-5.8,0
46,2020-02-16,0.0,-1.0,6.7,1.3,0
47,2020-02-17,0.0,3.3,10.6,5.1,0
48,2020-02-18,0.0,3.3,8.3,4.7,0
49,2020-02-19,0.0,0.0,8.9,5.1,0
50,2020-02-20,0.0,-3.2,1.7,-0.7,0
51,2020-02-21,0.0,-6.6,1.7,-2.9,0
52,2020-02-22,0.0,-1.0,10.0,2.6,0
53,2020-02-23,0.0,3.9,13.3,5.6,0
54,2020-02-24,0.0,5.0,16.7,8.2,0
55,2020-02-25,0.0,7.8,11.7,8.7,0
56,2020-02-26,0.0,6.1,8.9,7.7,0
57,2020-02-27,0.0,-0.5,6.1,3.9,0
58,2020-02-28,0.0,-1.6,5.6,0.7,0
59,2020-02-29,0.0,-3.8,1.7,-1.3,0
60,2020-03-01,0.0,-3.8,6.7,0.4,0
61,2020-03-02,0.0,4.4,14.4,7.6,0
62,2020-03-03,0.0,9.4,15.0,11.0,0
63,2020-03-04,0.0,7.2,13.3,9.3,0
64,2020-03-05,0.0,3.9,10.6,6.7,0
65,2020-03-06,0.0,2.8,7.2,4.1,0
66,2020-03-07,0.0,2.2,8.9,4.3,0
67,2020-03-08,0.0,1.7,15.0,6.9,0
68,2020-03-09,0.0,8.3,22.2,12.6,0
69,2020-03-10,0.0,12.2,18.3,14.1,0
70,2020-03-11,0.0,6.1,13.9,9.9,0
71,2020-03-12,0.0,6.1,10.0,6.7,0
72,2020-03-13,0.0,7.2,21.1,12.7,0
73,2020-03-14,0.0,6.1,13.9,8.5,0
74,2020-03-15,0.0,4.4,12.2,7.8,0
75,2020-03-16,0.0,0.6,7.2,3.3,0
76,2020-03-17,0.0,5.0,12.2,7.8,0
77,2020-03-18,0.0,5.0,12.2,7.8,0
78,2020-03-19,0.0,5.0,11.1,7.8,0
79,2020-03-20,0.0,8.3,25.0,14.4,0
80,2020-03-21,0.0,4.4,18.3,8.9,0
81,2020-03-22,0.0,0.6,7.2,2.9,0
82,2020-03-23,0.0,2.2,5.0,2.7,0
83,2020-03-24,0.0,2.2,12.8,6.7,0
84,2020-03-25,0.0,4.4,7.2,5.5,0
85,2020-03-26,0.0,3.3,15.6,7.3,0
86,2020-03-27,0.0,10.0,20.6,13.9,0
87,2020-03-28,0.0,6.7,12.2,8.4,0
88,2020-03-29,0.0,6.7,8.3,7.8,0
89,2020-03-30,0.0,5.0,11.1,8.1,0
90,2020-03-31,0.0,5.0,9.4,6.4,0
91,2020-04-01,0.0,3.3,13.3,7.5,0
92,2020-04-02,0.0,3.3,14.4,8.7,0
93,2020-04-03,0.0,7.2,11.1,9.7,0
94,2020-04-04,0.0,7.8,16.7,11.0,0
95,2020-04-05,0.0,8.3,18.3,11.7,0
96,2020-04-06,0.0,9.4,18.9,12.8,0
97,2020-04-07,0.0,11.1,20.0,13.4,0
98,2020-04-08,0.0,9.4,17.8,13.4,0
99,2020-04-09,0.0,6.1,15.0,10.0,0
100,2020-04-10,0.0,2.8,9.4,5.8,0
101,2020-04-11,0.0,3.3,13.3,7.4,0
102,2020-04-12,0.0,6.7,17.2,10.2,0
103,2020-04-13,0.0,11.7,19.4,15.4,0
104,2020-04-14,0.0,8.3,15.6,10.9,0
105,2020-04-15,0.0,5.6,12.2,7.8,0
106,2020-04-16,0.0,3.3,10.0,6.1,0
107,2020-04-17,0.0,2.2,10.6,4.6,0
108,2020-04-18,0.0,5.0,7.8,6.0,0
109,2020-04-19,0.0,4.4,17.2,9.4,0
110,2020-04-20,0.0,8.9,13.9,10.4,0
111,2020-04-21,0.0,3.9,16.1,8.6,0
112,2020-04-22,0.0,2.2,10.6,5.6,0
113,2020-04-23,0.0,4.4,11.1,6.1,0
114,2020-04-24,0.0,5.6,9.4,7.2,0
115,2020-04-25,0.0,6.7,18.3,10.4,0
116,2020-04-26,0.0,5.6,10.6,8.4,0
117,2020-04-27,0.0,3.9,10.0,6.7,0
118,2020-04-28,0.0,5.0,19.4,11.1,0
119,2020-04-29,0.0,8.3,15.0,10.0,0
120,2020-04-30,0.0,9.4,15.6,12.9,0
121,2020-05-01,0.0,11.7,18.9,14.9,0
122,2020-05-02,0.0,10.6,22.8,16.6,0
123,2020-05-03,0.0,12.2,26.7,19.6,0
124,2020-05-04,0.0,10.0,23.9,16.8,0
125,2020-05-05,0.0,7.8,17.2,11.5,0
126,2020-05-06,0.0,7.2,11.1,9.3,0
127,2020-05-07,0.0,7.8,19.4,12.9,0
128,2020-05-08,0.0,2.2,13.9,8.8,0
129,2020-05-09,0.0,1.1,8.9,4.2,0
130,2020-05-10,0.0,3.9,17.8,10.2,0
131,2020-05-11,0.0,6.7,16.1,10.7,0
132,2020-05-12,0.0,6.1,15.0,9.9,0
133,2020-05-13,0.0,5.0,17.8,10.8,0
134,2020-05-14,0.0,8.3,19.4,13.4,0
135,2020-05-15,0.0,15.6,28.9,22.0,0
136,2020-05-16,0.0,15.0,25.0,20.6,0
137,2020-05-17,0.0,12.8,20.6,15.9,0
138,2020-05-18,0.0,12.2,21.1,16.0,0
139,2020-05-19,0.0,11.7,20.0,15.7,0
140,2020-05-20,0.0,9.4,18.9,13.6,0
141,2020-05-21,0.0,7.8,20.0,13.3,0
142,2020-05-22,0.0,12.2,25.0,17.5,0
143,2020-05-23,0.0,12.8,19.4,17.2,0
144,2020-05-24,0.0,11.1,19.4,15.1,0
145,2020-05-25,0.0,12.8,21.7,17.0,0
146,2020-05-26,0.0,14.4,25.6,19.0,0
147,2020-05-27,0.0,15.6,26.1,19.9,0
148,2020-05-28,0.0,17.8,24.4,21.1,0
149,2020-05-29,0.0,19.4,27.2,23.2,0
150,2020-05-30,0.0,19.4,27.2,22.7,0
151,2020-05-31,0.0,13.3,21.1,17.2,0
152,2020-06-01,0.0,10.6,21.1,15.8,0
153,2020-06-02,0.0,15.0,22.2,17.9,0
154,2020-06-03,0.0,15.6,26.1,21.1,0
